steps,scenario,sr,cs,cd_mean,cd_std,speed,safety_score
50000,denseTown02,0.0,2.0451658197965457,0.7371047021749598,0.6901422178382604,13.125416905202178,0.0
170000,denseTown02,0.1,0.020730845057786367,0.055903082925690774,0.06217119546196752,9.26868566597253,0.0
300000,denseTown02,0.0,12.781044474537005,0.06717471276791086,0.06438005794919872,10.461442657316107,0.0
230000,denseTown02,0.9,0.03900546745175206,0.08661262478773171,0.08028250250835962,21.2942997567991,36.66
850000,denseTown02,1.0,0.0,0.05182720499198055,0.05818807377943506,12.283406603726586,97.8
430000,denseTown02,0.0,5.147328081321504,0.08663429243863985,0.11228508117913232,21.632959854965968,0.0
440000,denseTown02,0.9,1.1060891093332237,0.07467869817690972,0.06507120608045722,16.221186555249176,37.21
480000,denseTown02,0.0,0.2629025215497456,0.06862172618476284,0.06145235134282501,9.282888926201556,0.0
810000,denseTown02,0.9,0.44122531948405397,0.05537292339147667,0.050809081322411145,10.604667673268384,37.88
630000,denseTown02,0.9,1.3162287349847763,0.06460812250688527,0.0631015958291889,16.52028794202419,37.45
880000,denseTown02,0.9,0.0042884758158639995,0.07835001271636062,0.05399267122274307,13.47068292743813,37.35
910000,denseTown02,0.0,2.1832842254092033,0.06631254905499233,0.05482391947594747,19.908391928220567,0.0
800000,denseTown02,1.0,0.0,0.06257012767002224,0.09596063364044367,12.80804711391938,96.83
130000,denseTown02,0.9,0.1826648732153584,0.12063669246664696,0.119888332112928,18.030381284455675,35.19
100000,denseTown02,0.0,0.6434276122475391,0.14926685886647645,0.21541415233297698,12.441184999446886,0.0
500000,denseTown02,0.9,1.5312417729233108,0.06621607700971888,0.07880242783377786,19.435168906217292,37.1
950000,denseTown02,0.0,1.7664534339168771,0.05266150081065137,0.05820791425310594,13.461244787943732,0.0
860000,denseTown02,1.0,0.0,0.05537209245269055,0.08303836639550913,14.887715068332104,97.23
190000,denseTown02,0.0,5.243675622573285,0.08177571682134113,0.09791261043407111,18.508186093958557,0.0
550000,denseTown02,0.9,0.1253850181219279,0.06377474867395459,0.06821484617266575,17.97685958270366,37.36
840000,denseTown02,0.9,0.8376910228821286,0.05726631692695563,0.05913420790282046,17.446238903950167,37.67
160000,denseTown02,0.9,0.00600555887387031,0.06918163218035592,0.08979811686769709,12.49094948754197,36.82
370000,denseTown02,0.9,0.020391753519947108,0.06212029441553781,0.07948821972022231,21.444846914600042,37.17
640000,denseTown02,0.1,1.1797985984755919,0.06838406527487983,0.0827055749269636,14.227658801656617,0.0
540000,denseTown02,0.0,0.06994324900590053,0.06234345693145164,0.04763682103731531,8.890799692259371,0.0
140000,denseTown02,0.9,0.00943206340164834,0.09707981998674355,0.09305829580817276,19.79248785521406,36.2
790000,denseTown02,0.0,2.560435563172585,0.05875208186988577,0.056537470562178435,8.524629637943146,0.0
620000,denseTown02,0.9,0.442501782107385,0.08086519850991722,0.07775442748124999,16.41758165279926,36.83
280000,denseTown02,0.9,0.5657014186626057,0.05861875058725942,0.06393341953010076,10.42547397171899,37.55
240000,denseTown02,0.9,0.7860596829752109,0.07014217427772362,0.09325425614098622,16.595625032044847,36.73
560000,denseTown02,0.9,0.3706316803424445,0.06687280112072742,0.0746940270900336,18.567109188269786,37.17
270000,denseTown02,0.9,0.20570063717314402,0.07623135992297081,0.0796144510801274,16.365525891165095,36.88
120000,denseTown02,0.0,0.32281062778902403,0.12313207103466514,0.1301486597597552,11.319537281474558,0.0
320000,denseTown02,0.9,0.7908573161747146,0.06478737273095221,0.08007544508030431,17.50383012140902,37.1
340000,denseTown02,0.9,0.04704828286548103,0.06277546719787215,0.072999101817493,19.94566405480349,37.28
290000,denseTown02,0.9,0.0692955787734392,0.06244499369663602,0.08002577035777754,21.922579573739522,37.15
750000,denseTown02,1.0,0.0,0.048428140829021124,0.052530412655802695,13.075818661483215,97.98
